"Type","Accession","Trait","root_path","full_path"
Immune_Cell,GCST90001547,lymphocyte count,../Data/GWAS summary stats/Original Data,Immune_Cell_157_32929287-GCST90001547-EFO_0007937.h.tsv.gz
Immune_Cell,GCST90001548,lymphocyte count,../Data/GWAS summary stats/Original Data,Immune_Cell_158_32929287-GCST90001548-EFO_0007937.h.tsv.gz
Immune_Cell,GCST90001549,lymphocyte count,../Data/GWAS summary stats/Original Data,Immune_Cell_159_32929287-GCST90001549-EFO_0007937.h.tsv.gz
Immune_Cell,GCST90001406,lymphocyte count,../Data/GWAS summary stats/Original Data,Immune_Cell_16_32929287-GCST90001406-EFO_0007937.h.tsv.gz
Immune_Cell,GCST90001550,lymphocyte count,../Data/GWAS summary stats/Original Data,Immune_Cell_160_32929287-GCST90001550-EFO_0007937.h.tsv.gz
Immune_Cell,GCST90001551,lymphocyte count,../Data/GWAS summary stats/Original Data,Immune_Cell_161_32929287-GCST90001551-EFO_0007937.h.tsv.gz
Immune_Cell,GCST90001552,lymphocyte count,../Data/GWAS summary stats/Original Data,Immune_Cell_162_32929287-GCST90001552-EFO_0007937.h.tsv.gz
Immune_Cell,GCST90001553,lymphocyte count,../Data/GWAS summary stats/Original Data,Immune_Cell_163_32929287-GCST90001553-EFO_0007937.h.tsv.gz
Immune_Cell,GCST90001554,lymphocyte count,../Data/GWAS summary stats/Original Data,Immune_Cell_164_32929287-GCST90001554-EFO_0007937.h.tsv.gz
Immune_Cell,GCST90001555,lymphocyte count,../Data/GWAS summary stats/Original Data,Immune_Cell_165_32929287-GCST90001555-EFO_0007937.h.tsv.gz
Immune_Cell,GCST90001556,lymphocyte count,../Data/GWAS summary stats/Original Data,Immune_Cell_166_32929287-GCST90001556-EFO_0007937.h.tsv.gz
Immune_Cell,GCST90001557,lymphocyte count,../Data/GWAS summary stats/Original Data,Immune_Cell_167_32929287-GCST90001557-EFO_0007937.h.tsv.gz
Immune_Cell,GCST90001558,lymphocyte count,../Data/GWAS summary stats/Original Data,Immune_Cell_168_32929287-GCST90001558-EFO_0007937.h.tsv.gz
Immune_Cell,GCST90001559,lymphocyte count,../Data/GWAS summary stats/Original Data,Immune_Cell_169_32929287-GCST90001559-EFO_0007937.h.tsv.gz
Immune_Cell,GCST90001407,lymphocyte count,../Data/GWAS summary stats/Original Data,Immune_Cell_17_32929287-GCST90001407-EFO_0007937.h.tsv.gz
Immune_Cell,GCST90001560,lymphocyte count,../Data/GWAS summary stats/Original Data,Immune_Cell_170_32929287-GCST90001560-EFO_0007937.h.tsv.gz
Immune_Cell,GCST90001561,lymphocyte count,../Data/GWAS summary stats/Original Data,Immune_Cell_171_32929287-GCST90001561-EFO_0007937.h.tsv.gz
Immune_Cell,GCST90001562,lymphocyte count,../Data/GWAS summary stats/Original Data,Immune_Cell_172_32929287-GCST90001562-EFO_0007937.h.tsv.gz
Immune_Cell,GCST90001563,lymphocyte count,../Data/GWAS summary stats/Original Data,Immune_Cell_173_32929287-GCST90001563-EFO_0007937.h.tsv.gz
Immune_Cell,GCST90001564,lymphocyte count,../Data/GWAS summary stats/Original Data,Immune_Cell_174_32929287-GCST90001564-EFO_0007937.h.tsv.gz
Immune_Cell,GCST90001565,lymphocyte count,../Data/GWAS summary stats/Original Data,Immune_Cell_175_32929287-GCST90001565-EFO_0007937.h.tsv.gz
Immune_Cell,GCST90001566,lymphocyte count,../Data/GWAS summary stats/Original Data,Immune_Cell_176_32929287-GCST90001566-EFO_0007937.h.tsv.gz
Immune_Cell,GCST90001567,lymphocyte count,../Data/GWAS summary stats/Original Data,Immune_Cell_177_32929287-GCST90001567-EFO_0007937.h.tsv.gz
Immune_Cell,GCST90001568,lymphocyte count,../Data/GWAS summary stats/Original Data,Immune_Cell_178_32929287-GCST90001568-EFO_0007937.h.tsv.gz
Immune_Cell,GCST90001569,lymphocyte count,../Data/GWAS summary stats/Original Data,Immune_Cell_179_32929287-GCST90001569-EFO_0007937.h.tsv.gz
Immune_Cell,GCST90001408,lymphocyte count,../Data/GWAS summary stats/Original Data,Immune_Cell_18_32929287-GCST90001408-EFO_0007937.h.tsv.gz
Immune_Cell,GCST90001570,lymphocyte count,../Data/GWAS summary stats/Original Data,Immune_Cell_180_32929287-GCST90001570-EFO_0007937.h.tsv.gz
Immune_Cell,GCST90001571,lymphocyte count,../Data/GWAS summary stats/Original Data,Immune_Cell_181_32929287-GCST90001571-EFO_0007937.h.tsv.gz
Immune_Cell,GCST90001572,lymphocyte count,../Data/GWAS summary stats/Original Data,Immune_Cell_182_32929287-GCST90001572-EFO_0007937.h.tsv.gz
Immune_Cell,GCST90001573,lymphocyte count,../Data/GWAS summary stats/Original Data,Immune_Cell_183_32929287-GCST90001573-EFO_0007937.h.tsv.gz
Immune_Cell,GCST90001574,lymphocyte count,../Data/GWAS summary stats/Original Data,Immune_Cell_184_32929287-GCST90001574-EFO_0007937.h.tsv.gz
Immune_Cell,GCST90001575,lymphocyte count,../Data/GWAS summary stats/Original Data,Immune_Cell_185_32929287-GCST90001575-EFO_0007937.h.tsv.gz
Immune_Cell,GCST90001576,lymphocyte count,../Data/GWAS summary stats/Original Data,Immune_Cell_186_32929287-GCST90001576-EFO_0007937.h.tsv.gz
Immune_Cell,GCST90001577,lymphocyte count,../Data/GWAS summary stats/Original Data,Immune_Cell_187_32929287-GCST90001577-EFO_0007937.h.tsv.gz
Immune_Cell,GCST90001578,lymphocyte count,../Data/GWAS summary stats/Original Data,Immune_Cell_188_32929287-GCST90001578-EFO_0007937.h.tsv.gz
Immune_Cell,GCST90001579,monocyte count,../Data/GWAS summary stats/Original Data,Immune_Cell_189_32929287-GCST90001579-EFO_0007937.h.tsv.gz
Immune_Cell,GCST90001409,lymphocyte count,../Data/GWAS summary stats/Original Data,Immune_Cell_19_32929287-GCST90001409-EFO_0007937.h.tsv.gz
Immune_Cell,GCST90001580,monocyte count,../Data/GWAS summary stats/Original Data,Immune_Cell_190_32929287-GCST90001580-EFO_0007937.h.tsv.gz
Immune_Cell,GCST90001581,monocyte count,../Data/GWAS summary stats/Original Data,Immune_Cell_191_32929287-GCST90001581-EFO_0007937.h.tsv.gz
Immune_Cell,GCST90001582,monocyte count,../Data/GWAS summary stats/Original Data,Immune_Cell_192_32929287-GCST90001582-EFO_0007937.h.tsv.gz
Immune_Cell,GCST90001583,monocyte count,../Data/GWAS summary stats/Original Data,Immune_Cell_193_32929287-GCST90001583-EFO_0007937.h.tsv.gz
Immune_Cell,GCST90001584,monocyte count,../Data/GWAS summary stats/Original Data,Immune_Cell_194_32929287-GCST90001584-EFO_0007937.h.tsv.gz
Immune_Cell,GCST90001585,monocyte count,../Data/GWAS summary stats/Original Data,Immune_Cell_195_32929287-GCST90001585-EFO_0007937.h.tsv.gz
Immune_Cell,GCST90001586,monocyte count,../Data/GWAS summary stats/Original Data,Immune_Cell_196_32929287-GCST90001586-EFO_0007937.h.tsv.gz
Immune_Cell,GCST90001587,monocyte count,../Data/GWAS summary stats/Original Data,Immune_Cell_197_32929287-GCST90001587-EFO_0007937.h.tsv.gz
Immune_Cell,GCST90001588,leukocyte count,../Data/GWAS summary stats/Original Data,Immune_Cell_198_32929287-GCST90001588-EFO_0007937.h.tsv.gz
Immune_Cell,GCST90001589,leukocyte count,../Data/GWAS summary stats/Original Data,Immune_Cell_199_32929287-GCST90001589-EFO_0007937.h.tsv.gz
Immune_Cell,GCST90001392,lymphocyte count,../Data/GWAS summary stats/Original Data,Immune_Cell_2_32929287-GCST90001392-EFO_0007937.h.tsv.gz
Immune_Cell,GCST90001410,lymphocyte count,../Data/GWAS summary stats/Original Data,Immune_Cell_20_32929287-GCST90001410-EFO_0007937.h.tsv.gz
Immune_Cell,GCST90001590,leukocyte count,../Data/GWAS summary stats/Original Data,Immune_Cell_200_32929287-GCST90001590-EFO_0007937.h.tsv.gz
